epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,13250.3,1.64508,5.18909,0.38413,1.24523,1.66716,0.74525,0.6176,0.6931,0.37724,0.68697,0.56832,0.55449,0.21617,1.76406,4.1428,0.35411,1.07245,1.55166,0.007426,0.007426,0.007426
28,13731.8,1.64408,5.17569,0.38361,1.24082,1.66302,0.74516,0.6187,0.6942,0.37889,0.68657,0.57006,0.5571,0.21737,1.76197,4.13147,0.35367,1.07034,1.54953,0.007327,0.007327,0.007327
29,14258.1,1.64039,5.15823,0.38245,1.2391,1.66237,0.74271,0.62028,0.69467,0.37952,0.68298,0.57258,0.55829,0.21903,1.75955,4.12193,0.35313,1.06837,1.54713,0.007228,0.007228,0.007228
30,14737.8,1.63284,5.13152,0.38168,1.23148,1.65936,0.74106,0.62106,0.69456,0.38004,0.68554,0.57454,0.56103,0.22118,1.75849,4.10942,0.35267,1.06581,1.54558,0.007129,0.007129,0.007129
31,15215.4,1.63071,5.11852,0.38054,1.22823,1.65369,0.74194,0.62374,0.696,0.38143,0.68938,0.57667,0.56285,0.22281,1.75648,4.09618,0.35219,1.06336,1.5444,0.00703,0.00703,0.00703
32,15695.5,1.62773,5.09136,0.37883,1.2189,1.64929,0.73635,0.62626,0.69648,0.38238,0.69235,0.5773,0.566,0.22411,1.7548,4.08646,0.35181,1.06058,1.54265,0.006931,0.006931,0.006931
33,16172.9,1.62565,5.08937,0.37933,1.22048,1.64903,0.74087,0.62516,0.69784,0.38293,0.691,0.58218,0.5688,0.22542,1.75293,4.07509,0.35127,1.05742,1.54039,0.006832,0.006832,0.006832
34,16654.1,1.62748,5.07171,0.37824,1.21904,1.64918,0.73513,0.63093,0.69863,0.38383,0.69177,0.58486,0.5699,0.22722,1.74982,4.06684,0.35092,1.05486,1.53778,0.006733,0.006733,0.006733
35,17131.9,1.62196,5.05379,0.37844,1.21307,1.64719,0.73621,0.63182,0.69978,0.3851,0.69271,0.58591,0.57094,0.22893,1.7481,4.05663,0.35039,1.05263,1.53592,0.006634,0.006634,0.006634
36,17611.6,1.6215,5.0432,0.37758,1.21144,1.64592,0.73526,0.63224,0.70067,0.38585,0.70102,0.58729,0.57532,0.23014,1.74601,4.04885,0.34984,1.04999,1.53344,0.006535,0.006535,0.006535
