epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.079,3.12767,9.56429,0.68597,3.05945,3.63099,0.25371,0.22812,0.1745,0.06618,0.03588,0.02409,0.00727,0.00088,2.2908,8.73944,0.61905,2.52741,2.85435,0.00332957,0.00332957,0.00332957
2,1473.83,2.04632,8.2189,0.58598,2.18019,2.48559,0.54869,0.48118,0.49239,0.22356,0.21739,0.14499,0.0685,0.01423,1.85278,7.19121,0.50899,1.97631,2.33255,0.00659694,0.00659694,0.00659694
3,2064.46,1.76042,7.3218,0.5028,1.87256,2.13168,0.57307,0.52739,0.54782,0.26244,0.36327,0.24386,0.16519,0.03748,1.74067,6.50405,0.47976,1.99332,2.17427,0.00979831,0.00979831,0.00979831
4,2678.43,1.62925,6.6611,0.46794,1.71019,1.96718,0.7053,0.58013,0.66185,0.36828,0.52371,0.35264,0.30884,0.08842,1.5537,5.63456,0.43069,1.50299,1.95845,0.009703,0.009703,0.009703
5,3272.63,1.5386,6.24852,0.44698,1.58019,1.86551,0.74676,0.62941,0.71969,0.4134,0.57237,0.41751,0.3813,0.1172,1.45431,5.21796,0.41174,1.34908,1.85262,0.009604,0.009604,0.009604
6,3868.89,1.48916,6.00508,0.43498,1.50673,1.81024,0.76183,0.64257,0.7406,0.44557,0.61729,0.46418,0.43496,0.14487,1.39028,4.91684,0.40107,1.26764,1.76858,0.009505,0.009505,0.009505
7,4672.75,1.45486,5.83992,0.42646,1.44928,1.77322,0.76545,0.671,0.7638,0.46406,0.61916,0.48205,0.45768,0.16056,1.35082,4.7622,0.39086,1.20386,1.72769,0.009406,0.009406,0.009406
8,5269.51,1.42795,5.71217,0.42026,1.4064,1.74456,0.76993,0.67646,0.76907,0.47794,0.64981,0.4904,0.48461,0.17624,1.32122,4.63261,0.38206,1.16921,1.7001,0.009307,0.009307,0.009307
9,5888.74,1.40594,5.61543,0.41534,1.38089,1.72787,0.78785,0.67963,0.78111,0.49247,0.66332,0.5181,0.50782,0.18863,1.28655,4.50569,0.37661,1.14052,1.66037,0.009208,0.009208,0.009208
10,6530.51,1.39035,5.54587,0.41062,1.35855,1.71149,0.7928,0.69696,0.79259,0.50435,0.68767,0.53149,0.53204,0.19931,1.26005,4.39002,0.37048,1.10487,1.63831,0.009109,0.009109,0.009109
11,7125.23,1.3761,5.47439,0.40818,1.33658,1.69692,0.77998,0.70844,0.79654,0.51122,0.67387,0.53705,0.53616,0.20708,1.24499,4.32925,0.36857,1.08251,1.62166,0.00901,0.00901,0.00901
12,7721.99,1.36255,5.41527,0.4053,1.31731,1.68508,0.79357,0.70447,0.80202,0.5195,0.68602,0.5562,0.54875,0.21623,1.23399,4.25097,0.366,1.06449,1.60352,0.008911,0.008911,0.008911
13,8377.68,1.35382,5.36315,0.40303,1.30614,1.67544,0.78488,0.72257,0.80713,0.52608,0.70255,0.55101,0.55955,0.22555,1.2177,4.18469,0.36401,1.04702,1.59095,0.008812,0.008812,0.008812
14,8991.93,1.34325,5.30483,0.40081,1.28862,1.66587,0.80702,0.7097,0.81121,0.53048,0.68683,0.56486,0.56326,0.22921,1.20829,4.14216,0.36255,1.03322,1.58141,0.008713,0.008713,0.008713
15,9585.86,1.33677,5.28007,0.39865,1.28193,1.65935,0.80423,0.71489,0.81552,0.53666,0.70216,0.56423,0.5695,0.23393,1.19672,4.08922,0.35999,1.019,1.572,0.008614,0.008614,0.008614
16,10182.2,1.32842,5.23744,0.39677,1.27068,1.65175,0.80109,0.72261,0.81994,0.54073,0.70287,0.57289,0.57629,0.23811,1.18736,4.06205,0.35807,1.00716,1.56326,0.008515,0.008515,0.008515
17,10762.5,1.32407,5.20213,0.39457,1.26055,1.64657,0.80661,0.72884,0.82183,0.54349,0.70044,0.58344,0.58246,0.24283,1.18282,4.03611,0.35682,0.99965,1.5565,0.008416,0.008416,0.008416
18,11404,1.31745,5.16219,0.39334,1.24923,1.63893,0.80406,0.72985,0.82328,0.54548,0.70648,0.57746,0.58345,0.2452,1.17905,4.01195,0.35584,0.99564,1.55055,0.008317,0.008317,0.008317
19,12102,1.31079,5.14089,0.39071,1.23711,1.63346,0.80269,0.73205,0.82458,0.54744,0.70928,0.5796,0.58622,0.24685,1.17501,3.99023,0.35469,0.99049,1.54553,0.008218,0.008218,0.008218
