epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,4.287849712371826,4.042732524871826,0.48761608004570006,0.5570476651191711
1,4.072542667388916,3.9068228721618654,0.5483436942100525,0.6204807102680207
2,3.8923481464385987,3.749726390838623,0.596896767616272,0.6730688214302063
3,3.7434436798095705,3.5842031955718996,0.6277808308601379,0.7390003085136414
4,3.5978501796722413,3.4264340877532957,0.6642314314842224,0.7865810990333557
5,3.463135862350464,3.2831843852996827,0.6869766592979432,0.810507869720459
6,3.3383057594299315,3.1499061584472656,0.709236454963684,0.831933856010437
7,3.220611810684204,3.0276026725769043,0.7200189709663392,0.8475149273872375
8,3.1022574424743654,2.9111115455627443,0.7440164923667908,0.8642125129699707
9,2.9843632221221923,2.802681827545166,0.7602243423461914,0.8764540791511536
10,2.873877429962158,2.6991145610809326,0.7769883632659912,0.8848020911216736
11,2.7727410316467287,2.5994475841522218,0.7874914884567261,0.8912014126777649
12,2.668102979660034,2.5034006595611573,0.8037690281867981,0.8964873075485229
13,2.578385591506958,2.4128286838531494,0.8098909854888916,0.8995478749275208
14,2.487418508529663,2.3247860431671143,0.8167078971862793,0.9034437298774719
15,2.393637228012085,2.2413989067077638,0.8326370358467102,0.9042782306671142
16,2.3120100021362306,2.1615602016448974,0.8382016777992248,0.908729636669159
17,2.228542137145996,2.084500026702881,0.8416107296943665,0.9095649003982544
18,2.154019594192505,2.0103352785110475,0.8453668355941772,0.9115116715431213
19,2.078950881958008,1.9398615598678588,0.8480793118476868,0.9123461604118347
20,2.0109145641326904,1.8749239921569825,0.8524621844291687,0.9134599685668945
21,1.9365380525588989,1.8062393188476562,0.8624787092208862,0.9162412166595459
22,1.8631919860839843,1.7423134803771974,0.8735391974449158,0.9170757174491883
23,1.8038126468658446,1.682686734199524,0.8716608881950378,0.918744695186615
24,1.7444225549697876,1.6230278015136719,0.8728434324264527,0.9209707736968994
25,1.6890176057815551,1.5684045791625976,0.875626516342163,0.9212489366531372
26,1.6327350854873657,1.5145755529403686,0.8780606150627136,0.9229183197021484
27,1.5725073337554931,1.4624656438827515,0.8806338906288147,0.9243099212646484
28,1.522827386856079,1.413831877708435,0.8861989140510559,0.9251451849937439
29,1.4732858657836914,1.366122794151306,0.8868249177932739,0.9254225850105285
30,1.4237693309783936,1.3205393314361573,0.8903033375740051,0.927648663520813
31,1.3767380952835082,1.2781666278839112,0.8919034123420715,0.9307088613510132
32,1.333596420288086,1.2359889507293702,0.8977463483810425,0.9315445184707641
33,1.2879014968872071,1.1966816902160644,0.900946044921875,0.9318222999572754
34,1.2499070167541504,1.1566300868988038,0.9019897937774658,0.9340476155281067
35,1.2083908081054688,1.1181045532226563,0.9041459321975708,0.9354384303092956
36,1.1760340929031372,1.0845556259155273,0.8996245741844178,0.9362744569778443
37,1.1377489805221557,1.0494133949279785,0.9062326788902283,0.9379434466362
38,1.1041871309280396,1.0164034485816955,0.906163239479065,0.9376645088195801
39,1.0734347581863404,0.9856628894805908,0.9068593382835388,0.9371085643768311
40,1.0390259265899657,0.9565005421638488,0.9118667602539062,0.9398929238319397
41,1.0058028817176818,0.9294166922569275,0.9139539480209351,0.941283357143402
42,0.9779332995414733,0.9016636133193969,0.9159014105796814,0.9390576481819153
43,0.9512285947799682,0.8775874733924866,0.9170843362808228,0.9390564918518066
44,0.9329124450683594,0.8504646420478821,0.913327944278717,0.9418392896652221
45,0.9053365826606751,0.8275498628616333,0.9159013390541076,0.9435094356536865
46,0.8762589454650879,0.8080654501914978,0.9214664220809936,0.9435094356536865
47,0.8580136895179749,0.7841110825538635,0.9201449632644654,0.945455813407898
48,0.8329350590705872,0.7633683681488037,0.9231361865997314,0.9446224927902221
49,0.813798725605011,0.7445364952087402,0.9234835386276246,0.946011745929718
50,0.7918826580047608,0.7282370924949646,0.9252229928970337,0.9474045038223267
51,0.7760424971580505,0.7072897911071777,0.9236923336982727,0.9501869320869446
52,0.7558066606521606,0.6902247786521911,0.9298829436302185,0.9507409334182739
53,0.7390642881393432,0.6747899651527405,0.9260575652122498,0.9510206460952759
54,0.7242286920547485,0.6591990232467652,0.9288395524024964,0.9490738987922669
55,0.7083827018737793,0.647659170627594,0.9301615238189698,0.9501869320869446
56,0.6893582940101624,0.6315523386001587,0.9308573722839355,0.9504654884338379
57,0.6813510298728943,0.6174287557601928,0.9289786458015442,0.950185763835907
58,0.6662121772766113,0.607911491394043,0.9306487798690796,0.9529701232910156
59,0.6536663413047791,0.5936645627021789,0.9305089235305786,0.9532471179962159
60,0.6416775345802307,0.5824057102203369,0.9337788701057435,0.9524114489555359
61,0.6246184587478638,0.5725417971611023,0.9362128734588623,0.9535256624221802
62,0.6164199829101562,0.5616190314292908,0.9344043135643005,0.9543621063232421
63,0.6108137130737304,0.5514363765716552,0.9314832925796509,0.9560299158096314
64,0.5921793222427368,0.5409934759140015,0.939691162109375,0.9551946520805359
65,0.5918410301208497,0.5346733033657074,0.9340565919876098,0.9551977634429931
66,0.5781361818313598,0.5248196721076965,0.9367692947387696,0.9546394944190979
67,0.5726815819740295,0.5163378238677978,0.9380911588668823,0.9557525277137756
68,0.5595530986785888,0.513312143087387,0.9389261603355408,0.9568659543991089
69,0.5520288467407226,0.5019833266735076,0.939482581615448,0.9588135004043579
70,0.5441640973091125,0.4964834272861481,0.9397608280181885,0.9574222922325134
71,0.5401382863521575,0.48588897585868834,0.9398298978805542,0.959369444847107
72,0.5349195718765258,0.48005783557891846,0.9413604974746704,0.9599265575408935
73,0.5194145560264587,0.47389295101165774,0.9413609862327575,0.9599265575408935
74,0.5210232317447663,0.47044089436531067,0.9417779684066773,0.957423460483551
75,0.5089637577533722,0.4628636598587036,0.9438650250434876,0.9618744730949402
76,0.5066343784332276,0.4568429946899414,0.9414305567741394,0.9618740797042846
77,0.5001941502094269,0.44971916675567625,0.9412212371826172,0.9602054715156555
78,0.4884053170681,0.4460657835006714,0.9469257116317749,0.9624304175376892
79,0.48646371364593505,0.4400045335292816,0.94344722032547,0.9624308109283447
80,0.4837062001228333,0.43339929580688474,0.9449776411056519,0.9629871368408203
81,0.47599591612815856,0.4285596489906311,0.9447691679000855,0.9624311804771424
82,0.4728243052959442,0.4254352390766144,0.9458816528320313,0.9629875183105469
83,0.46700005531311034,0.4203423738479614,0.9462996482849121,0.9641009569168091
84,0.4589660823345184,0.41747704744338987,0.9470645189285278,0.9646572709083557
85,0.4586177170276642,0.4121171236038208,0.9460208535194397,0.9629871368408203
86,0.45783758759498594,0.4066151797771454,0.9449083089828492,0.9646568894386292
87,0.44955155849456785,0.40600690245628357,0.9483167171478272,0.9632656693458557
88,0.44356284737586976,0.4002625644207001,0.9490120053291321,0.9646561145782471
89,0.4436424434185028,0.396200430393219,0.9458820700645447,0.9643779516220092
90,0.43793451189994814,0.39195406436920166,0.9485949158668519,0.967717456817627
91,0.4305811285972595,0.3879194915294647,0.9492211222648621,0.9660480976104736
92,0.4262831389904022,0.3868331015110016,0.9511690258979797,0.9666051983833313
93,0.4246980369091034,0.38090361952781676,0.9504733324050904,0.9666051983833313
94,0.4150685429573059,0.3805109143257141,0.9517252445220947,0.965491771697998
95,0.4195737302303314,0.38044825196266174,0.9495688199996948,0.9629878997802734
