epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,32384.2,1.20687,4.78725,0.38686,1.13765,1.39653,0.82771,0.74984,0.84917,0.60058,0.74652,0.62516,0.64848,0.30257,1.03083,3.64917,0.35995,0.88487,1.279,0.007426,0.007426,0.007426
28,33366.1,1.20557,4.76852,0.38647,1.13309,1.39329,0.82791,0.75047,0.84994,0.60162,0.75126,0.62437,0.65047,0.30508,1.0284,3.63716,0.35939,0.88231,1.2763,0.007327,0.007327,0.007327
29,34496.9,1.20023,4.74397,0.38474,1.12808,1.38932,0.82824,0.75016,0.85104,0.60241,0.75058,0.62752,0.65148,0.30723,1.02667,3.622,0.35888,0.87946,1.27362,0.007228,0.007228,0.007228
30,35692.7,1.19681,4.71567,0.38427,1.11989,1.38496,0.83338,0.74874,0.85122,0.60326,0.7522,0.62986,0.65389,0.30951,1.02396,3.61152,0.35849,0.87684,1.27008,0.007129,0.007129,0.007129
31,36666,1.1924,4.6956,0.38258,1.11661,1.37995,0.82729,0.75378,0.85185,0.60392,0.75388,0.62972,0.65625,0.31181,1.02233,3.59902,0.35809,0.87439,1.26733,0.00703,0.00703,0.00703
32,37843.3,1.1854,4.66937,0.38136,1.10677,1.37324,0.82669,0.75394,0.85188,0.60472,0.75743,0.63067,0.65838,0.31393,1.02062,3.58728,0.35768,0.87206,1.26496,0.006931,0.006931,0.006931
33,39069.7,1.18759,4.67218,0.38166,1.10973,1.37287,0.82886,0.75362,0.85197,0.60609,0.75775,0.63229,0.66053,0.3155,1.01835,3.57564,0.35722,0.86935,1.26223,0.006832,0.006832,0.006832
34,40036.3,1.1868,4.64751,0.38043,1.10572,1.37081,0.82929,0.75407,0.85281,0.60732,0.76409,0.63176,0.66448,0.31893,1.01622,3.56267,0.35667,0.86608,1.25914,0.006733,0.006733,0.006733
35,41202.5,1.18245,4.63061,0.38035,1.101,1.36636,0.82826,0.75547,0.85333,0.60847,0.76041,0.63492,0.66607,0.32075,1.01417,3.54759,0.35621,0.86327,1.25653,0.006634,0.006634,0.006634
36,42159.2,1.1808,4.61685,0.37927,1.10031,1.36444,0.83209,0.75346,0.85413,0.61015,0.7638,0.63839,0.66859,0.32352,1.01227,3.53536,0.35568,0.8605,1.25403,0.006535,0.006535,0.006535
