epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,16289.4,1.14618,4.46034,0.37717,1.04586,1.35176,0.8303,0.76181,0.85757,0.61478,0.77552,0.62106,0.65885,0.31245,1.00571,3.54441,0.35886,0.84921,1.25618,0.007426,0.007426,0.007426
28,16890.7,1.14164,4.42541,0.37568,1.04088,1.34276,0.83015,0.76055,0.85771,0.61602,0.77741,0.62531,0.66287,0.31536,1.00345,3.53045,0.35829,0.84708,1.25277,0.007327,0.007327,0.007327
29,17492,1.13933,4.41284,0.37504,1.03563,1.34098,0.82407,0.76544,0.85813,0.6167,0.78019,0.62657,0.66647,0.31801,1.00182,3.51628,0.35774,0.84424,1.25021,0.007228,0.007228,0.007228
30,18093.2,1.13628,4.39361,0.37356,1.0326,1.33781,0.82351,0.76472,0.85842,0.61683,0.77937,0.62841,0.67121,0.32067,0.99979,3.50349,0.35711,0.84162,1.24755,0.007129,0.007129,0.007129
31,18694.4,1.13271,4.3581,0.37294,1.02653,1.33244,0.82808,0.76385,0.85938,0.61832,0.78142,0.62909,0.67158,0.3231,0.99751,3.48962,0.35635,0.8386,1.2442,0.00703,0.00703,0.00703
32,19295.5,1.12611,4.36275,0.37202,1.02394,1.32957,0.82909,0.76417,0.85975,0.61934,0.77794,0.63148,0.67191,0.32483,0.99494,3.47611,0.35569,0.83693,1.24097,0.006931,0.006931,0.006931
33,19897.2,1.12559,4.34035,0.37109,1.01949,1.32548,0.82469,0.76763,0.86071,0.62027,0.78045,0.63256,0.67498,0.32722,0.99231,3.46219,0.35499,0.83529,1.23767,0.006832,0.006832,0.006832
34,20498.1,1.12236,4.32791,0.3707,1.0166,1.32215,0.83494,0.76289,0.86145,0.6214,0.78595,0.63445,0.67791,0.32962,0.99017,3.44819,0.3544,0.83224,1.23471,0.006733,0.006733,0.006733
35,21100.5,1.12193,4.3129,0.36987,1.01482,1.32047,0.83452,0.76417,0.8621,0.6221,0.78547,0.63555,0.67809,0.33232,0.98865,3.43462,0.35366,0.83007,1.2323,0.006634,0.006634,0.006634
36,21702.4,1.11657,4.2933,0.36849,1.00944,1.31741,0.83369,0.76548,0.86223,0.62283,0.78763,0.63696,0.68075,0.33426,0.9874,3.42315,0.35307,0.82848,1.23003,0.006535,0.006535,0.006535
37,22304.4,1.11627,4.27883,0.36815,1.00451,1.31415,0.83214,0.7664,0.8629,0.62344,0.78337,0.64027,0.68221,0.33724,0.98557,3.40999,0.35247,0.8263,1.22764,0.006436,0.006436,0.006436
38,22906.9,1.1135,4.26176,0.36765,1.00378,1.31231,0.83318,0.76821,0.86322,0.62455,0.7833,0.64247,0.68475,0.33977,0.98334,3.39596,0.35176,0.82425,1.22506,0.006337,0.006337,0.006337
39,23508.7,1.11266,4.23,0.36612,1.00386,1.31223,0.83105,0.76818,0.86334,0.62593,0.78121,0.6461,0.68732,0.34202,0.9813,3.38235,0.35108,0.82275,1.2227,0.006238,0.006238,0.006238
