epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.799,3.33257,9.79791,0.69102,2.74007,3.55528,0.33782,0.29125,0.23432,0.0844,0.03874,0.02125,0.00481,0.00098,2.3981,9.10359,0.63696,2.15246,2.67236,0.00332957,0.00332957,0.00332957
2,812.798,2.09765,8.40734,0.59533,1.84465,2.19912,0.634,0.49717,0.55506,0.26082,0.25791,0.14436,0.08308,0.017,1.84544,7.34461,0.52728,1.58339,1.9798,0.00659694,0.00659694,0.00659694
3,1213.55,1.77144,7.39673,0.5156,1.57857,1.8271,0.65993,0.56947,0.62676,0.31986,0.41374,0.2637,0.20032,0.04985,1.66735,6.41914,0.48849,1.63733,1.76284,0.00979831,0.00979831,0.00979831
4,1636.39,1.62902,6.75201,0.47852,1.44994,1.68281,0.7278,0.61414,0.69569,0.3922,0.51982,0.3613,0.31055,0.08795,1.51764,5.73289,0.44498,1.27639,1.6098,0.009703,0.009703,0.009703
5,2038.16,1.52969,6.33943,0.45609,1.34119,1.58903,0.74056,0.64059,0.72715,0.43129,0.58856,0.4131,0.38277,0.11717,1.40516,5.37817,0.43168,1.19494,1.50033,0.009604,0.009604,0.009604
6,2441.11,1.47502,6.09414,0.44388,1.28028,1.54103,0.765,0.65617,0.75032,0.46046,0.63428,0.46379,0.44209,0.14922,1.34241,5.05558,0.41713,1.10551,1.45174,0.009505,0.009505,0.009505
7,2851.7,1.4315,5.9113,0.4353,1.2329,1.50071,0.77838,0.6779,0.77026,0.48283,0.63189,0.48834,0.45779,0.16021,1.29904,4.8806,0.40852,1.05179,1.40957,0.009406,0.009406,0.009406
8,3258.58,1.3989,5.78112,0.42942,1.19487,1.46931,0.78884,0.68692,0.78552,0.50351,0.67,0.50834,0.49902,0.1813,1.25831,4.72838,0.40318,1.01237,1.36802,0.009307,0.009307,0.009307
9,3667.79,1.37659,5.68068,0.42468,1.17201,1.45031,0.80552,0.69474,0.80082,0.51928,0.68834,0.53117,0.52031,0.1941,1.22111,4.57053,0.39819,0.97555,1.33626,0.009208,0.009208,0.009208
10,4077.98,1.35655,5.59928,0.42038,1.15101,1.43082,0.80025,0.71426,0.80579,0.52705,0.68565,0.54518,0.53458,0.20887,1.20801,4.47122,0.39265,0.94674,1.31985,0.009109,0.009109,0.009109
11,4483.27,1.3387,5.52065,0.41804,1.13109,1.41401,0.81371,0.71064,0.81315,0.53763,0.71958,0.5529,0.56288,0.22378,1.18797,4.37134,0.38889,0.92845,1.30371,0.00901,0.00901,0.00901
12,4889.19,1.32611,5.4524,0.41491,1.1156,1.3987,0.81632,0.71717,0.82091,0.54573,0.72368,0.55825,0.57078,0.23316,1.17083,4.29396,0.38642,0.90555,1.28646,0.008911,0.008911,0.008911
13,5293.9,1.31409,5.40081,0.41232,1.1015,1.38772,0.81489,0.72076,0.8244,0.55334,0.72144,0.56344,0.57691,0.23748,1.15476,4.22761,0.38189,0.88994,1.27206,0.008812,0.008812,0.008812
14,5694.09,1.30233,5.32727,0.41009,1.08509,1.37512,0.8213,0.72791,0.82882,0.55823,0.7166,0.58013,0.58673,0.24704,1.14414,4.17262,0.37944,0.87453,1.26184,0.008713,0.008713,0.008713
15,6084.25,1.29493,5.29506,0.40699,1.07792,1.36789,0.81882,0.7307,0.83263,0.56304,0.72506,0.58092,0.59125,0.25129,1.13334,4.12146,0.3772,0.86423,1.25347,0.008614,0.008614,0.008614
16,6477.13,1.28641,5.2436,0.4053,1.06721,1.3597,0.82689,0.73064,0.83609,0.56733,0.73487,0.58234,0.59757,0.25756,1.12238,4.07697,0.37568,0.85637,1.24493,0.008515,0.008515,0.008515
17,6865.88,1.27927,5.21536,0.40351,1.05827,1.35484,0.82765,0.73333,0.83851,0.57011,0.74242,0.58853,0.60467,0.26086,1.1175,4.04549,0.37392,0.84859,1.23954,0.008416,0.008416,0.008416
18,7257.95,1.27144,5.17152,0.40186,1.05162,1.34587,0.82896,0.73475,0.83887,0.57296,0.74328,0.59073,0.60951,0.2654,1.11045,4.01011,0.37241,0.84316,1.23356,0.008317,0.008317,0.008317
19,7648.84,1.26352,5.13275,0.39911,1.03982,1.34248,0.83091,0.73363,0.84046,0.57505,0.74379,0.59241,0.60931,0.26778,1.10678,3.98427,0.37119,0.83805,1.22963,0.008218,0.008218,0.008218
20,8037.93,1.25671,5.09767,0.39783,1.03563,1.33439,0.83335,0.73725,0.84247,0.57621,0.74591,0.59527,0.616,0.27095,1.10185,3.96424,0.37001,0.83414,1.22566,0.008119,0.008119,0.008119
21,8426.73,1.25218,5.07524,0.39643,1.02785,1.3282,0.83217,0.73788,0.84306,0.57784,0.74895,0.59553,0.61927,0.27396,1.09741,3.94472,0.36904,0.83144,1.22208,0.00802,0.00802,0.00802
22,8815.75,1.24927,5.04194,0.39609,1.02459,1.32536,0.82827,0.74183,0.84398,0.57947,0.75038,0.59761,0.62321,0.27603,1.09311,3.9258,0.36809,0.82784,1.21849,0.007921,0.007921,0.007921
23,9202.88,1.24374,5.01972,0.39467,1.02079,1.32074,0.8335,0.74001,0.8453,0.58091,0.74854,0.60078,0.62507,0.27807,1.0898,3.91014,0.36735,0.82495,1.21595,0.007822,0.007822,0.007822
24,9592.95,1.23893,4.99847,0.39321,1.01569,1.31623,0.83536,0.74166,0.84552,0.58186,0.74521,0.60485,0.6284,0.2798,1.08687,3.89703,0.36669,0.82248,1.21335,0.007723,0.007723,0.007723
25,9980.72,1.23435,4.96755,0.39131,1.00857,1.31103,0.83116,0.74555,0.84665,0.58333,0.74923,0.60264,0.62944,0.28172,1.0846,3.88304,0.36609,0.81939,1.21123,0.007624,0.007624,0.007624
26,10370.5,1.22999,4.93829,0.39134,1.00463,1.30692,0.83307,0.74638,0.84736,0.58432,0.75207,0.60409,0.63089,0.28401,1.08183,3.87013,0.36542,0.81671,1.20882,0.007525,0.007525,0.007525
27,10757.5,1.22547,4.92467,0.39025,1.00458,1.30375,0.83315,0.74874,0.84796,0.58602,0.75488,0.60564,0.63371,0.28598,1.07876,3.85874,0.36485,0.81409,1.20627,0.007426,0.007426,0.007426
28,11147.4,1.2236,4.90915,0.38967,0.99771,1.30043,0.82913,0.75205,0.84872,0.58697,0.75408,0.60729,0.63438,0.28783,1.07592,3.84572,0.36416,0.81137,1.20395,0.007327,0.007327,0.007327
29,11535.3,1.21923,4.88356,0.38826,0.99383,1.29779,0.83333,0.75,0.8493,0.58822,0.7531,0.61272,0.63751,0.29002,1.07291,3.8369,0.36362,0.80948,1.20091,0.007228,0.007228,0.007228
