epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,42685.4,1.20894,4.77524,0.38563,1.13384,1.39318,0.83081,0.75371,0.85122,0.60123,0.74685,0.63208,0.64987,0.3047,1.02772,3.64004,0.35973,0.88405,1.27013,0.007426,0.007426,0.007426
28,43535.4,1.20733,4.7551,0.38525,1.13039,1.38755,0.82724,0.7563,0.85111,0.60203,0.74726,0.63303,0.65209,0.30747,1.02592,3.6281,0.35911,0.88083,1.26729,0.007327,0.007327,0.007327
29,44367.3,1.20235,4.73624,0.38355,1.12316,1.38429,0.82726,0.75661,0.8519,0.60313,0.75145,0.63445,0.65459,0.30979,1.02399,3.61759,0.3586,0.8777,1.26442,0.007228,0.007228,0.007228
30,45285.2,1.19824,4.70566,0.38277,1.1189,1.38113,0.82916,0.7563,0.85252,0.60503,0.75144,0.63744,0.65797,0.31257,1.02248,3.60604,0.35812,0.87461,1.26203,0.007129,0.007129,0.007129
31,46129.6,1.19383,4.69142,0.38198,1.11203,1.37424,0.83325,0.7522,0.85308,0.60575,0.75335,0.63775,0.66013,0.31514,1.02084,3.59437,0.3576,0.87166,1.25947,0.00703,0.00703,0.00703
32,46992.5,1.18989,4.65784,0.38025,1.10498,1.3707,0.83482,0.75126,0.85378,0.6067,0.75777,0.63791,0.66291,0.31707,1.01892,3.58414,0.35705,0.86884,1.25668,0.006931,0.006931,0.006931
33,48199.6,1.1906,4.66083,0.38038,1.10811,1.37071,0.83181,0.75299,0.85405,0.60817,0.76264,0.63633,0.66542,0.31833,1.01685,3.5722,0.35647,0.86569,1.25398,0.006832,0.006832,0.006832
34,49263.2,1.18809,4.64338,0.37891,1.10328,1.36707,0.83522,0.74969,0.85401,0.60908,0.76605,0.63885,0.66845,0.3209,1.01498,3.56033,0.35585,0.86269,1.25136,0.006733,0.006733,0.006733
35,50760.5,1.18489,4.62234,0.37891,1.09777,1.36311,0.83531,0.75331,0.85443,0.61021,0.76872,0.63681,0.66905,0.32356,1.01289,3.54874,0.35522,0.85964,1.24874,0.006634,0.006634,0.006634
36,52025.8,1.18278,4.60797,0.37783,1.09661,1.35875,0.83615,0.75441,0.85586,0.61135,0.77223,0.63728,0.67163,0.3258,1.01089,3.53608,0.35462,0.85654,1.24618,0.006535,0.006535,0.006535
37,53105.8,1.17717,4.58314,0.37693,1.08998,1.3558,0.83664,0.75549,0.85641,0.61228,0.7734,0.64048,0.67398,0.3279,1.00892,3.52501,0.35398,0.85377,1.24359,0.006436,0.006436,0.006436
38,54242.8,1.17706,4.57745,0.37708,1.08649,1.35318,0.8286,0.76055,0.85638,0.61293,0.77282,0.64263,0.67594,0.33081,1.00691,3.51313,0.35323,0.85178,1.24069,0.006337,0.006337,0.006337
39,55318.5,1.1727,4.55936,0.37555,1.08572,1.35225,0.82933,0.75965,0.85709,0.6143,0.77266,0.64263,0.67436,0.33224,1.00511,3.49993,0.35267,0.84982,1.2383,0.006238,0.006238,0.006238
40,56604.8,1.17031,4.53496,0.37517,1.08093,1.34747,0.83079,0.75826,0.85723,0.61545,0.77198,0.64384,0.67451,0.33396,1.00291,3.487,0.35187,0.84734,1.23552,0.006139,0.006139,0.006139
41,57719.5,1.16675,4.53441,0.37388,1.07669,1.34609,0.83483,0.75829,0.85797,0.61665,0.77409,0.64499,0.67675,0.33549,1.00117,3.47535,0.35136,0.84461,1.23303,0.00604,0.00604,0.00604
42,58732.8,1.16773,4.51623,0.37355,1.07359,1.34494,0.83543,0.7596,0.85838,0.6169,0.77482,0.64463,0.67853,0.33727,0.99914,3.46196,0.35063,0.84273,1.23053,0.005941,0.005941,0.005941
43,59851.1,1.16701,4.50869,0.37318,1.07357,1.34207,0.83623,0.76039,0.85877,0.6177,0.77876,0.64668,0.68191,0.34007,0.99732,3.44952,0.34993,0.84103,1.22843,0.005842,0.005842,0.005842
44,60865,1.16288,4.49704,0.37223,1.06502,1.33909,0.8411,0.75693,0.85929,0.61923,0.77921,0.64673,0.68171,0.34159,0.99547,3.43776,0.34924,0.83905,1.22618,0.005743,0.005743,0.005743
45,62185.2,1.16139,4.47871,0.37139,1.06806,1.33961,0.8394,0.76055,0.86042,0.61992,0.78114,0.64736,0.68422,0.34416,0.9942,3.42719,0.34855,0.83705,1.2245,0.005644,0.005644,0.005644
46,63479,1.15791,4.46293,0.37094,1.06235,1.33503,0.83963,0.7616,0.86082,0.62126,0.78082,0.64798,0.686,0.34629,0.99228,3.41424,0.3478,0.83554,1.22214,0.005545,0.005545,0.005545
47,64593.5,1.1546,4.45376,0.37074,1.0604,1.33269,0.84073,0.76291,0.8614,0.6223,0.78552,0.64751,0.688,0.34795,0.99082,3.40153,0.34722,0.83375,1.22034,0.005446,0.005446,0.005446
48,65619.5,1.15213,4.44028,0.36974,1.05572,1.33035,0.8432,0.76277,0.86195,0.62328,0.78244,0.65113,0.68824,0.34934,0.98915,3.38856,0.34667,0.83233,1.21823,0.005347,0.005347,0.005347
49,66909.2,1.15288,4.43433,0.36958,1.0539,1.32971,0.84619,0.76102,0.8631,0.62409,0.78462,0.65271,0.69021,0.35182,0.98735,3.37554,0.34603,0.82974,1.21589,0.005248,0.005248,0.005248
50,67898.8,1.14998,4.405,0.36848,1.05172,1.32692,0.8453,0.76134,0.86379,0.62499,0.79009,0.65124,0.69319,0.35381,0.98565,3.36303,0.34543,0.8273,1.21368,0.005149,0.005149,0.005149
51,69065.1,1.14389,4.37817,0.36686,1.04552,1.32291,0.8469,0.76197,0.86397,0.62594,0.78743,0.65318,0.69374,0.35591,0.98368,3.3513,0.34478,0.82576,1.21129,0.00505,0.00505,0.00505
52,70029.1,1.14903,4.38726,0.3675,1.04792,1.32627,0.84625,0.76134,0.86425,0.62627,0.79594,0.6505,0.69543,0.35829,0.98221,3.33916,0.34412,0.82411,1.20959,0.004951,0.004951,0.004951
53,71193.1,1.14399,4.36827,0.36648,1.04121,1.32082,0.84721,0.76206,0.86456,0.62709,0.79587,0.65349,0.69751,0.36045,0.97997,3.32692,0.34341,0.82201,1.20738,0.004852,0.004852,0.004852
54,72325.2,1.14463,4.36495,0.36591,1.04169,1.32097,0.84781,0.76389,0.86473,0.62796,0.79504,0.65727,0.7007,0.3625,0.97789,3.31505,0.34288,0.81947,1.20528,0.004753,0.004753,0.004753
55,73501.7,1.13633,4.34609,0.36456,1.03587,1.3171,0.84628,0.76527,0.86573,0.62908,0.79779,0.65654,0.70286,0.36423,0.97643,3.30431,0.34235,0.81718,1.20364,0.004654,0.004654,0.004654
56,74512.2,1.13881,4.34938,0.36514,1.0328,1.31819,0.84705,0.76464,0.86639,0.63008,0.79754,0.658,0.70495,0.36631,0.97462,3.29165,0.34167,0.81466,1.20159,0.004555,0.004555,0.004555
57,75490.8,1.13385,4.32254,0.36419,1.0281,1.31285,0.84572,0.76637,0.86693,0.63091,0.80048,0.66005,0.70628,0.36783,0.97276,3.27987,0.34105,0.81242,1.19947,0.004456,0.004456,0.004456
58,76493.9,1.13187,4.31263,0.3636,1.02694,1.31233,0.84825,0.76559,0.86751,0.6315,0.79913,0.66137,0.70831,0.36971,0.97142,3.26915,0.34047,0.81068,1.19776,0.004357,0.004357,0.004357
59,77745.6,1.13232,4.29832,0.36287,1.02584,1.31098,0.84831,0.76685,0.8678,0.63257,0.79542,0.66598,0.70941,0.37194,0.97014,3.25895,0.33987,0.80874,1.19645,0.004258,0.004258,0.004258
60,78702.6,1.13081,4.29481,0.36198,1.02691,1.31167,0.84705,0.76986,0.86824,0.63335,0.78902,0.67176,0.71041,0.37321,0.96803,3.24823,0.33923,0.8063,1.19416,0.004159,0.004159,0.004159
61,79806.9,1.12753,4.2795,0.36152,1.01978,1.30675,0.849,0.76968,0.86844,0.63397,0.79167,0.67242,0.71233,0.37478,0.96637,3.23942,0.33865,0.80406,1.19222,0.00406,0.00406,0.00406
62,80760.4,1.12685,4.26678,0.36104,1.01824,1.30377,0.84787,0.77122,0.86904,0.63488,0.79485,0.67065,0.71314,0.37657,0.96518,3.22834,0.33799,0.80191,1.19067,0.003961,0.003961,0.003961
63,81893.6,1.12427,4.26269,0.3606,1.01469,1.30187,0.8517,0.77031,0.86988,0.63595,0.79474,0.67144,0.71361,0.37794,0.96344,3.21849,0.33744,0.80023,1.18884,0.003862,0.003862,0.003862
64,82904.6,1.1222,4.23839,0.36024,1.01348,1.29915,0.84951,0.7733,0.86979,0.63634,0.79218,0.67538,0.71437,0.37984,0.96221,3.20834,0.33687,0.79842,1.18729,0.003763,0.003763,0.003763
65,83871.6,1.11803,4.20626,0.35878,1.00665,1.29736,0.8493,0.77314,0.87034,0.63696,0.79236,0.67491,0.71524,0.38129,0.96016,3.19986,0.33628,0.79655,1.18521,0.003664,0.003664,0.003664
66,84859.3,1.12,4.23225,0.35971,1.00963,1.29862,0.85154,0.77119,0.87084,0.63787,0.79631,0.67506,0.7167,0.38323,0.9582,3.19103,0.33575,0.79401,1.18311,0.003565,0.003565,0.003565
67,85844.8,1.11727,4.2112,0.35886,1.00839,1.29687,0.85045,0.77169,0.87126,0.63868,0.79222,0.67554,0.71614,0.38519,0.95707,3.18026,0.33516,0.79217,1.18159,0.003466,0.003466,0.003466
68,86945.5,1.11188,4.19929,0.3578,1.00497,1.29495,0.85066,0.77314,0.87176,0.63934,0.79772,0.6738,0.71682,0.38677,0.95583,3.17105,0.33453,0.79018,1.18016,0.003367,0.003367,0.003367
69,88015,1.11238,4.18617,0.3574,1.00099,1.29325,0.849,0.77503,0.87225,0.64003,0.79781,0.67679,0.71897,0.38853,0.95449,3.16073,0.33389,0.78793,1.17859,0.003268,0.003268,0.003268
70,88972.5,1.11073,4.16617,0.35596,0.99667,1.28978,0.84927,0.77472,0.87278,0.64092,0.80144,0.67317,0.71946,0.39013,0.9532,3.15289,0.33331,0.78628,1.17715,0.003169,0.003169,0.003169
71,90357.1,1.10431,4.15338,0.35514,0.99227,1.28704,0.84947,0.77519,0.87362,0.64175,0.80333,0.67475,0.72167,0.39168,0.95158,3.14539,0.33281,0.78487,1.17546,0.00307,0.00307,0.00307
72,92070.8,1.10283,4.14162,0.35522,0.99107,1.28391,0.85022,0.77478,0.87411,0.64269,0.80406,0.67601,0.72333,0.39365,0.9504,3.13617,0.33239,0.7832,1.17415,0.002971,0.002971,0.002971
73,93813.3,1.10248,4.13724,0.35496,0.98764,1.28538,0.8527,0.77283,0.87459,0.64332,0.81039,0.67522,0.72557,0.39553,0.94973,3.12948,0.33188,0.78147,1.17326,0.002872,0.002872,0.002872
74,95382.5,1.10081,4.12243,0.35462,0.98468,1.28346,0.85405,0.77293,0.8749,0.64404,0.81028,0.67837,0.7274,0.39778,0.94874,3.12102,0.33132,0.77996,1.17213,0.002773,0.002773,0.002773
75,97417,1.09833,4.1112,0.35369,0.9838,1.28098,0.85551,0.77366,0.87513,0.64468,0.80927,0.68089,0.72756,0.39905,0.94727,3.11292,0.33078,0.77837,1.1706,0.002674,0.002674,0.002674
76,99046.7,1.09658,4.08059,0.35293,0.97875,1.28045,0.85454,0.77424,0.87543,0.64524,0.8117,0.68136,0.72963,0.40069,0.94667,3.10558,0.33015,0.77717,1.16975,0.002575,0.002575,0.002575
77,100213,1.09447,4.08524,0.35172,0.9798,1.2788,0.85443,0.77645,0.87584,0.6458,0.81192,0.6823,0.73081,0.40175,0.9454,3.09843,0.32961,0.77573,1.16869,0.002476,0.002476,0.002476
78,101602,1.09132,4.06137,0.35136,0.97293,1.27536,0.85408,0.77679,0.87652,0.64586,0.81243,0.68168,0.72995,0.40311,0.94414,3.09095,0.32907,0.77418,1.16721,0.002377,0.002377,0.002377
79,103550,1.08787,4.05286,0.35011,0.96909,1.27441,0.85364,0.77787,0.87653,0.64674,0.8123,0.68335,0.73166,0.40462,0.94335,3.08363,0.32861,0.77279,1.16615,0.002278,0.002278,0.002278
80,105970,1.08671,4.03625,0.34993,0.96584,1.27433,0.85461,0.77731,0.87703,0.64729,0.81011,0.68593,0.73347,0.40591,0.94225,3.07771,0.32808,0.77167,1.1649,0.002179,0.002179,0.002179
81,107266,1.08448,4.03033,0.34927,0.96617,1.27212,0.85749,0.77629,0.87725,0.64766,0.80936,0.68842,0.73563,0.40713,0.94102,3.07026,0.32753,0.76974,1.16342,0.00208,0.00208,0.00208
82,108808,1.07951,4.00184,0.34827,0.9596,1.26828,0.85685,0.77692,0.87726,0.64785,0.80942,0.68867,0.73663,0.40801,0.94032,3.06055,0.3268,0.7679,1.16245,0.001981,0.001981,0.001981
83,110486,1.07937,3.98344,0.34756,0.9554,1.26758,0.85632,0.77876,0.87755,0.64833,0.81223,0.68844,0.73814,0.40942,0.93974,3.05363,0.32622,0.7665,1.16166,0.001882,0.001882,0.001882
84,112506,1.07707,3.97209,0.34691,0.9556,1.26536,0.85536,0.77991,0.87787,0.6487,0.81699,0.68734,0.73885,0.41101,0.93822,3.04657,0.32573,0.76541,1.16024,0.001783,0.001783,0.001783
85,114322,1.07794,3.96648,0.34627,0.95497,1.26516,0.85482,0.78235,0.8783,0.64905,0.8176,0.68734,0.7395,0.41192,0.93707,3.03978,0.32522,0.76401,1.15905,0.001684,0.001684,0.001684
86,115989,1.07223,3.9579,0.34624,0.94863,1.2621,0.85612,0.78128,0.87902,0.64971,0.81674,0.6897,0.74015,0.41268,0.93649,3.03254,0.3246,0.76234,1.15816,0.001585,0.001585,0.001585
87,117413,1.0688,3.94037,0.34582,0.94404,1.25912,0.8574,0.7809,0.87969,0.65042,0.81329,0.69159,0.74141,0.4137,0.93531,3.02693,0.32415,0.76078,1.15682,0.001486,0.001486,0.001486
88,118458,1.06531,3.91937,0.34489,0.94213,1.2573,0.85621,0.78338,0.87979,0.65138,0.81502,0.69159,0.74153,0.41514,0.93426,3.02263,0.32376,0.75888,1.15568,0.001387,0.001387,0.001387
89,119323,1.06685,3.90992,0.34427,0.94036,1.25758,0.85705,0.78385,0.8806,0.6519,0.82154,0.68924,0.74259,0.4162,0.93343,3.01706,0.32331,0.75712,1.1547,0.001288,0.001288,0.001288
90,120191,1.06179,3.88889,0.3435,0.93417,1.2549,0.86001,0.7818,0.88119,0.65255,0.82129,0.68781,0.74238,0.41647,0.93251,3.01055,0.32286,0.75516,1.15374,0.001189,0.001189,0.001189
91,121899,1.01238,3.37732,0.33538,0.83173,1.22072,0.86126,0.78082,0.88199,0.65379,0.82279,0.68855,0.74361,0.41737,0.93111,3.00373,0.3222,0.753,1.15226,0.00109,0.00109,0.00109
92,123659,1.00463,3.35237,0.33388,0.82108,1.21489,0.86148,0.78034,0.88261,0.65466,0.82004,0.69159,0.74479,0.41827,0.92974,2.99681,0.32151,0.75095,1.15086,0.000991,0.000991,0.000991
93,125413,0.99804,3.30565,0.33188,0.81408,1.21177,0.86333,0.77967,0.88348,0.65557,0.81918,0.69325,0.74539,0.41959,0.92826,2.99038,0.32089,0.74854,1.14943,0.000892,0.000892,0.000892
94,127329,0.99199,3.28202,0.33076,0.80784,1.20614,0.86337,0.77865,0.884,0.65624,0.81938,0.69458,0.7465,0.42054,0.92711,2.9823,0.32022,0.74642,1.1482,0.000793,0.000793,0.000793
95,128921,0.9889,3.26871,0.33001,0.80106,1.20453,0.86427,0.77791,0.88459,0.65768,0.81844,0.69616,0.747,0.42166,0.92576,2.9761,0.31954,0.74437,1.14695,0.000694,0.000694,0.000694
96,130449,0.98509,3.24897,0.32896,0.79594,1.20385,0.86358,0.78101,0.88533,0.65874,0.81961,0.69506,0.74714,0.42294,0.92442,2.9687,0.31881,0.74211,1.14569,0.000595,0.000595,0.000595
97,132026,0.9797,3.22052,0.32768,0.79088,1.19916,0.86499,0.78172,0.88611,0.65897,0.82031,0.69499,0.74789,0.42414,0.92312,2.962,0.3181,0.74002,1.14419,0.000496,0.000496,0.000496
98,133619,0.97775,3.2041,0.32702,0.78755,1.19688,0.86712,0.78178,0.88714,0.65993,0.82251,0.69674,0.74917,0.42496,0.92208,2.95561,0.31746,0.73822,1.143,0.000397,0.000397,0.000397
99,135466,0.97311,3.18417,0.32619,0.7832,1.1941,0.86654,0.7829,0.88812,0.66036,0.82236,0.69553,0.74887,0.42581,0.92072,2.95052,0.31682,0.73615,1.14176,0.000298,0.000298,0.000298
100,136909,0.96891,3.1708,0.32564,0.77835,1.1926,0.86814,0.78526,0.88908,0.66148,0.82295,0.69427,0.74886,0.42638,0.91961,2.94621,0.31621,0.73449,1.14076,0.000199,0.000199,0.000199
